id,link_title,web_link
20837663,"The Paxos Algorithm, or How to Win a Turing Award",lamport.azurewebsites.net
20847508,Ask HN: How Do You Read?,news.ycombinator.com
20848581,"TSV Utilities: Command line tools for large, tabular data files",github.com
20847943,"Cue – A language for defining, generating, and validating data",cuelang.org
20845112,The design of littlefs: A fail-safe filesystem designed for microcontrollers,github.com
20848334,Waypipe: GSoC Project Complete,lists.freedesktop.org
20847996,A Manager’s Guide to Kubernetes Adoption,unixism.net
20848926,What Is Zoned Storage and the Zoned Storage Initiative?,blog.westerndigital.com
20843076,Facial recognition: School ID checks lead to GDPR fine,www.bbc.com
20844346,YouTube Said to Be Fined Up to $200M for Children’s Privacy Violations,www.nytimes.com
20848169,Alcohol Belts of Europe,en.wikipedia.org
20843958,A Simulated Enigma Machine,observablehq.com
20844978,Why I like Clojure,sulami.github.io
20834704,Understanding SAT by Implementing a Simple SAT Solver in Python (2014),sahandsaba.com
20848153,Simple Python Package to Extract Deep Learning Features,chsasank.github.io
20843940,Humans Dominated Earth Earlier Than Previously Thought,www.nytimes.com
20836664,Quantum radar has been demonstrated for the first time,www.technologyreview.com
20845327,What to do once you admit that decentralization never seems to work (2018),hackernoon.com
20834125,Scaling Static Analyses at Facebook,cacm.acm.org
20828775,Engineers build advanced microprocessor out of carbon nanotubes,phys.org
20843560,Penn Effect,en.wikipedia.org
20847752,How to Make Billions of Dollars Reducing Loneliness,www.lesswrong.com
20828936,Show HN: ShapeForm – Schema Driven Forms for React,github.com
20848429,Making Web-Workers Async Iterables,github.com
20844363,Dropbox no longer follows symlinks to items outside of your Dropbox account,help.dropbox.com
20835683,The Survival of Iggy Pop,www.newyorker.com
20837157,Opinion piece on GHC back ends,andreaspk.github.io
20840622,Famous Graphics Chips: Microsoft’s Talisman,www.computer.org
20848698,Golden Ratio,www.melted.design
20837246,Linux Pressure Stall Information (PSI) by Example,unixism.net
20839582,The Baseline Interpreter: A Faster JavaScript Interpreter in Firefox 70,hacks.mozilla.org
20835223,A deep dive into iOS Exploit chains found in the wild,googleprojectzero.blogspot.com
20842956,"On-Device, Real-Time Hand Tracking with MediaPipe",ai.googleblog.com
20841059,"Protocols, Not Platforms: A Technological Approach to Free Speech",knightcolumbia.org
20839689,Facebook scans system libraries on Android and uploads them to their server,twitter.com
20836331,Dqlite – High-Availability SQLite,dqlite.io
20842400,BMW unveils car sprayed with Vantablack,www.dezeen.com
20838078,NPM Bans Terminal Ads,www.zdnet.com
20837753,Go Module Mirror and Checksum Database Launched,blog.golang.org
