idx,id,link_title,web_link,points
5190,20052623,Switch from Chrome to Firefox,www.mozilla.org,3287
6300,19728132,I Sell Onions on the Internet,www.deepsouthventures.com,3015
9480,18847043,Announcing unlimited free private repos,blog.github.com,2867
7500,19393279,Show HN: A retro video game console I've been working on in my free time,internalregister.github.io,2690
1260,21190265,Blizzard Suspends Professional Hearthstone Player for Hong Kong Comments,playhearthstone.com,2525
4441,20260863,Raspberry Pi 4,www.raspberrypi.org,2504
600,21401973,Twitter to ban political advertising,twitter.com,2447

